drug-name	drug-type
氨氯地平/利尿剂	C
卡托普利	C
依那普利	C
赖诺普利	C
培哚普利	C
雷米普利	C
喹那普利	C
贝那普利	C
西拉普利	C
福辛普利	C
群多普利	C
螺普利	C
地拉普利	C
莫昔普利	C
替莫普利	C
佐芬普利	C
咪达普利	C
卡托普利和利尿药	C
依那普利和利尿药	C
赖诺普利和利尿药	C
培哚普利和利尿药	C
雷米普利和利尿药	C
喹那普利和利尿药	C
贝那普利和利尿药	C
西拉普利和利尿药	C
福辛普利和利尿药	C
地拉普利和利尿药	C
莫昔普利和利尿药	C
佐芬普利和利尿药	C
依那普利和乐卡地平	C
赖诺普利和氨氯地平	C
培哚普利和氨氯地平	C
雷米普利和非洛地平	C
群多普利和维拉帕米	C
地拉普利和马尼地平	C
培多普利/氨氯地平/吲哒帕胺	C
氯沙坦	C
依普罗沙坦	C
缬沙坦	C
厄贝沙坦	C
他索沙坦	C
坎地沙坦	C
替米沙坦	C
奥美沙坦美索酯	C
氯沙坦和利尿药	C
依普罗沙坦和利尿药	C
缬沙坦和利尿药	C
厄贝沙坦和利尿药	C
坎地沙坦和利尿药	C
替米沙坦和利尿药	C
奥美沙坦美索酯和利尿药	C
缬沙坦和氨氯地平	C
奥美沙坦酯和氨氯地平	C
替米沙坦和氨氯地平	C
坎地沙坦/氨氯地平	C
缬沙坦，氨氯地平和氢氯噻嗪	C
缬沙坦和阿利克仑	C
瑞米吉仑	C
阿利吉仑	C
阿利吉仑和氢氯噻嗪	C
辛伐他汀	C
洛伐他汀	C
普伐他汀	C
氟伐他汀	C
阿伐他汀	C
西立伐他汀	C
罗舒伐他汀	C
匹伐他汀	C
氯贝丁酯	C
苯扎贝特	C
氯贝酸铝	C
吉非贝齐	C
非诺贝特	C
双贝特	C
氯烟贝特	C
环丙贝特	C
依托贝特	C
氯贝胺	C
考来烯胺	C
考来替泊	C
考来糖酐	C
考来维仑	C
戊四烟酯（烟酸戊四醇酯）	C
尼可呋糖（烟呋糖酯）	C
烟酸铝	C
阿昔莫司	C
烟酸，复方	C
右甲状腺素	C
普罗布考（普罗布可，丙丁酚）	C
硫地醇	C
美格鲁托	C
ω-3-甘油三酸酯，含其它酯和酸	C
5'-磷酸吡哆醛谷氨酸镁	C
甘蔗原素	C
依泽替麦	C
洛伐他汀和烟酸	C
辛伐他汀和依折麦布	C
普伐他汀和非诺贝特	C
辛伐他汀/菲诺贝特	C
阿托伐他汀/依替米贝	C
瑞舒伐他汀/依替米贝	C
辛伐他汀和乙酰水杨酸	C
普伐他汀和乙酰水杨酸	C
阿托伐他汀和氨氯地平	C
瑞舒伐他汀/水杨酸	C
曲古霉素	D
培西洛星	D
吡咯尼群（皮硝菌素，硝吡咯菌素）	D
灰黄霉素	D
益康唑	D
氯咪达唑	D
异康唑	D
噻苯达唑	D
噻康唑	D
酮康唑	D
硫康唑	D
联苯苄唑	D
奥昔康唑	D
芬替康唑	D
奥莫康唑	D
舍他康唑	D
氟康唑	D
氟曲马唑	D
依柏康唑	D
咪康唑复方	D
联苯苄唑复方	D
溴氯水杨酸苯胺	D
甲品红	D
三溴间甲酚	D
十一烯酸	D
2-(4-氯苯氧基)乙醇	D
氯苯甘醚	D
替克拉酮	D
舒苯汀	D
羟苯乙酯	D
卤普罗近	D
水杨酸	D
二硫化硒	D
环吡酮	D
特比萘芬	D
阿莫罗芬	D
地马唑	D
托萘酯	D
托西拉酯	D
氟胞嘧啶	D
萘替芬	D
布替萘芬	D
十一烯酸,复方	D
尿素复方	D
氨苯甲酸	D
辛诺沙酯	D
倍他胡萝卜素	D
卡地姆碘	D
聚糖酐	D
透明质酸	D
克立诺姆	D
甘草次酸	D
胶原酶	D
胶原酶，复方	D
松齐拉敏	D
美吡拉敏（美吡拉明，新安替根）	D
西那利定	D
曲吡那敏	D
氯吡拉敏（氯吡胺，卤吡胺）	D
异丙嗪	D
托普帕敏	D
二甲茚定	D
氯马斯汀（铁线莲亭）	D
巴米品	D
异西喷地	D
苯海拉明	D
甲溴苯海拉明	D
氯苯沙明（氯苯氧胺，氯甲苯海拉明）	D
奥布卡因（氨布卡因）	D
奎尼卡因	D
地蒽酚	D
地蒽酚复方	D
三甲沙林	D
甲氧沙林（敏白灵，甲氧呋豆素）	D
富马酸	D
卡泊三醇（钙泊三醇）	D
他卡西醇	D
他扎罗汀	D
卡泊三醇复方	D
香柑油内酯	D
阿维A酯（依曲昔酯，维甲灵，替维甲，苯壬四烯酯，银屑灵）	D
阿维A酸	D
富马酸衍生物，复方	D
地美环素	D
土霉素	D
夫西地酸	D
氯霉素	D
杆菌肽	D
庆大霉素	D
短杆菌素	D
莫匹罗星	D
维吉霉素	D
阿米卡星	D
瑞他莫林	D
磺胺嘧啶银	D
磺胺噻唑	D
磺胺米隆	D
磺胺美唑	D
磺胺	D
磺胺甲嘧啶	D
磺胺嘧啶银，复方	D
碘苷	D
曲金刚胺	D
阿昔洛韦（无环鸟苷）	D
鬼臼毒素	D
肌苷	D
喷昔洛韦	D
溶菌酶	D
伊巴他滨	D
依度尿苷	D
咪喹莫特	D
多可沙诺（山嵛醇，二十二烷醇）	D
阿昔洛韦，复方	D
巨大戟醇甲基丁烯酸酯	D
甲泼尼龙（甲强龙）	D
氯倍他松	D
丁酸氢化可的松	D
氟米松	D
氟可丁	D
氟培龙	D
氟泼尼定	D
地奈德（丙缩强羟龙，羟泼尼缩松）	D
曲安西龙（去炎松）	D
阿氯米松	D
丙丁氢化可的松	D
氯可托龙	D
皮质甾体激素类，复方	D
氟氯洛龙	D
去羟米松（脱氧米松）	D
二氟可龙	D
氟氢缩松（丙酮缩氟氢羟龙）	D
二氟拉松	D
安西奈德（安西缩松）	D
卤米松	D
莫米松	D
醋丙甲泼尼龙	D
醋丙氢可的松	D
氟替卡松	D
泼尼卡酯	D
二氟泼尼酯（醋丁二氟龙）	D
卤倍他松	D
氯倍他索	D
哈西奈德（哈西缩松，氯氟舒松）	D
泼尼松龙和灭菌药的复方	D
氢化可的松和灭菌药的复方	D
氟米松和灭菌药的复方	D
地奈德和灭菌药的复方	D
曲安西龙和灭菌药的复方	D
丁酸氢化可的松和灭菌药的复方	D
倍他米松和灭菌药的复方	D
氟轻松和灭菌药的复方	D
氟可龙和灭菌药的复方	D
二氟可龙和灭菌药的复方	D
氢化可的松和抗生素的复方	D
甲泼尼龙和抗生素的复方	D
泼尼松龙和抗生素的复方	D
曲安西龙和抗生素的复方	D
氟泼尼定和抗生素的复方	D
氟米龙和抗生素的复方	D
地塞米松和抗生素的复方	D
氟米松和抗生素的复方	D
倍他米松和抗生素的复方	D
氟轻松和抗生素的复方	D
氟氢缩松和抗生素的复方	D
倍氯米松和抗生素的复方	D
醋酸氟轻松和抗生素的复方	D
氟可龙和抗生素的复方	D
氯倍他索和抗生素的复方	D
氟米龙	D
皮质甾体激素类的复方	D
去羟米松	D
氨吖啶	D
吖啶黄	D
双溴丙脒	D
普罗帕脒	D
己脒定	D
聚己缩胍	D
氯己定，复方	D
六氯酚	D
聚甲酚磺醛	D
三氯生	D
氯二甲酚	D
联苯酚	D
辛苯氧基聚乙二醇醚-碘	D
聚维酮碘	D
碘	D
二碘羟基丙烷	D
地喹铵	D
氯喹那多	D
氯碘羟喹	D
苯扎铵	D
西曲铵	D
西曲胺	D
二癸二甲氯铵	D
苄索氯铵	D
奥替尼啶，复方	D
苄索氯铵，复方	D
多地溴铵，复方	D
氨基汞化氯	D
硼酸苯汞	D
氯化汞	D
汞溴红	D
金属汞	D
硫柳汞	D
碘化汞	D
硝酸银	D
金属银	D
曙红（四溴荧光素）	D
丙醇	D
氯胺T钠	D
异丙醇	D
高锰酸钾	D
次氯酸钠	D
乙醇	D
丙醇，复方	D
新霉素B	D
硝酸苯汞	D
苯度铵	D
水合氯化铝	D
碘仿	D
无添加药物的锌绷带	D
添加药物的锌绷带	D
硫氯酚	D
硫磺	D
噻克索酮	D
甲硫芬	D
维A酸（维甲酸）	D
视黄醇（维生素A1）	D
阿达帕林	D
异维A酸	D
莫维A胺	D
维A酸，复方	D
阿达帕林，复方	D
异维A酸，复方	D
过氧化苯甲酰	D
过氧化苯甲酰，复方	D
克林霉素	D
红霉素	D
甲氯环素	D
克林霉素，复方	D
红霉素，复方	D
氯化铝	D
雷琐辛（间苯二酚）	D
壬二酸	D
氧化铝	D
氨苯砜	D
各种复方	D
ictasol 鱼石脂磺酸钠	D
钙化合物类	D
硒化合物类	D
硫化合物类	D
珍尼柳酯	D
他克莫司	D
吡美莫司	D
γ-亚麻酸	D
琥珀酸锂	D
对甲氧酚	D
替拉曲考	D
奥沙西罗	D
非那雄胺（非那甾胺）	D
氢醌	D
吡硫翁锌	D
莫诺苯宗（氢醌苄醚）	D
依氟鸟氨酸	D
双氯芬酸	D
阿利维A酸	D
γ-亚麻酸，复方	D
胶原，复方	D
克念菌素	G
卡非西林	G
喷他霉素	G
制霉素，复方	G
双碘喹啉（二碘羟基喹啉）	G
乳酸	G
醋酸	G
抗坏血酸	G
磺胺托拉米	G
磺胺类复方	G
奥硝唑	G
阿扎硝唑	G
普罗硝唑	G
布康唑	G
咪唑衍生物类的复方	G
特康唑	G
氯登妥因	G
硝呋太尔	G
呋喃唑酮	G
丙噻酯	G
酶乳杆菌	G
地衣酸铜	G
甲麦角新碱	G
麦角生物碱	G
麦角新碱	G
甲麦角新碱和缩宫素	G
地诺前列素	G
地诺前列酮	G
吉美前列素	G
卡前列素	G
硫前列酮	G
塑料宫内避孕器	G
带有铜的塑料宫内避孕器	G
带有孕激素的塑料宫内避孕器	G
带有孕激素和雌激素的阴道避孕环	G
利托君	G
非诺特罗（芬忒醇）	G
溴隐亭（2-溴麦角隐亭，溴麦角环肽）	G
麦角乙脲	G
卡麦角林	G
喹高利特	G
甲麦角林	G
特麦角脲	G
萘普生	G
氟诺洛芬	G
阿托西班	G
羊荆子	G
升麻	G
炔诺醇和炔雌醇	G
奎孕醇和炔雌醇	G
利奈孕酮（炔雌烯醇）和炔雌醇	G
甲地孕酮和雌激素	G
炔诺酮和炔雌醇	G
炔诺孕酮和炔雌醇	G
左炔诺孕酮和炔雌醇	G
甲羟孕酮和炔雌醇	G
去氧孕烯和炔雌醇	G
孕二烯酮和炔雌醇	G
诺孕酯和炔雌醇	G
屈螺酮和炔雌醇	G
甲基孕酮和炔雌醇	G
诺美孕酮和炔雌醇	G
氯地孕酮和炔雌醇	G
甲地孕酮和炔雌醇	G
去氧孕烯和雌激素	G
地诺孕素和雌二醇	G
炔诺酮	G
利奈孕酮	G
左炔诺孕酮	G
奎孕醇	G
甲地孕酮	G
甲羟孕酮（安宫黄体酮）	G
诺孕烯酮	G
依托孕烯	G
去氧孕烯	G
氟甲睾酮（氟羟甲基睾丸素）	G
甲睾酮	G
睾酮	G
美睾酮	G
雄诺龙（二氢睾酮，雄烯醇酮）	G
炔雌醇	G
雌二醇	G
雌三醇	G
氯烯雌醚（三茴香基氯乙烯）	G
雌酮	G
普罗雌烯	G
雌二醇，复方	G
组合雌激素	G
己二烯雌酚（双烯雌酚）	G
己烯雌酚	G
美沙雌酸	G
莫克雌醇	G
替勃龙	G
孕诺酮	G
羟孕酮（羟黄体酮）	G
孕酮（黄体酮）	G
地屈孕酮（去氢孕酮，脱氧孕酮）	G
美屈孕酮	G
诺美孕酮	G
地美孕酮	G
氯地孕酮	G
普美孕酮	G
烯丙雌醇（烯丙雌烯醇）	G
利奈孕酮（炔雌烯醇）	G
炔孕酮（羟脱水孕酮）	G
炔诺醇	G
甲诺酮	G
甲睾酮和雌激素	G
睾酮和雌激素	G
普拉睾酮和雌激素	G
炔诺酮和雌激素	G
羟孕酮和雌激素	G
炔孕酮和雌激素	G
黄体酮和雌激素	G
甲诺睾酮和雌激素	G
炔诺醇和雌激素	G
利奈孕酮和雌激素	G
异炔诺酮和雌激素	G
炔诺孕酮和雌激素	G
左炔诺孕酮和雌激素	G
甲羟孕酮和雌激素	G
诺孕酯和雌激素	G
地屈孕酮和雌激素	G
地诺孕素和雌激素	G
曲美孕酮和雌激素	G
屈螺酮和雌激素	G
氯地孕酮和雌激素	G
美屈孕酮和雌激素	G
绒膜促性腺激素	G
人绝经促性腺激素	G
血清促性腺激素	G
尿促滤泡素	G
促滤泡素α	G
促滤泡素β	G
促黄体素α	G
绒膜促性腺激素α	G
环芬尼（环醋环烷）	G
氯米芬	G
表美雌醇	G
环丙孕酮	G
环丙孕酮和雌激素	G
达那唑（炔睾醇，炔羟雄烯异唑）	G
孕三烯酮	G
米非司酮	G
埃拉片	G
雷洛昔芬	G
依美铵	G
黄酮哌酯	G
美拉肼	G
奥昔布宁	G
特罗地林	G
丙哌维林	G
托特罗定	G
索非那新	G
曲司铵	G
达非那新	G
弗斯特罗定	G
米拉贝隆	G
罂粟碱（鸦片全碱）	G
西地那非	G
育亨宾	G
酚妥拉明（芬托拉明，吩妥胺）	G
莫西赛利（百里胺）	G
阿扑吗啡	G
他达那非（西力士）	G
伐地那非（瓦地那非）	G
罂粟碱，复方	G
醋羟胺酸	G
非那吡啶	G
琥珀酰亚胺	G
水杨酸苯酯	G
二甲亚砜	G
达泊西汀	G
阿夫唑嗪	G
坦洛新（坦素罗辛）	G
特拉唑嗪	G
西罗多辛（西洛多辛、西洛辛）	G
阿夫唑嗪和非那雄胺（非那甾胺）	G
坦洛新（坦素罗辛）和度他雄胺（度泰利特、度泰甾胺）	G
坦索罗辛/索非那新	G
度他雄胺（度泰利特、度泰甾胺）	G
非洲刺李	G
锯棕果	G
促皮质素	H
替可克肽	H
促甲状腺素	H
生长激素	H
人蛋氨生长素	H
美卡舍明	H
舍莫瑞林	H
美卡舍明-林菲培	H
派格索曼	H
加压素	H
去氨加压素	H
苯赖加压素	H
特利加压素	H
鸟氨加压素	H
精氨加压素	H
去氨缩宫素	H
缩宫素	H
卡贝缩宫素	H
戈那瑞林	H
那法瑞林	H
生长抑素	H
奥曲肽	H
兰瑞肽	H
伐普肽	H
帕斯瑞肽	H
加尼瑞克	H
西曲瑞克	H
醛甾酮	H
氟氢可的松	H
去氧皮质酮	H
甲泼尼龙	H
帕拉米松（对氟米松）	H
泼尼松	H
可的松	H
泼尼立定	H
利美索龙	H
地夫可特	H
氯泼尼醇	H
甲泼尼松	H
可的伐唑	H
甲泼尼龙，复方	H
曲洛司坦	H
左甲状腺素钠	H
碘塞罗宁钠	H
左甲状腺素和碘塞罗宁的复方	H
甲状腺体制剂	H
甲硫氧嘧啶（甲硫尿嘧啶）	H
丙硫氧嘧啶（丙硫尿嘧啶）	H
苄硫氧嘧啶（苄硫尿嘧啶）	H
卡比马唑	H
甲巯咪唑（他巴唑）	H
甲巯咪唑，复方	H
高氯酸钾	H
二碘酪氨酸	H
二溴酪氨酸	H
高血糖素	H
甲状旁腺提取物	H
特立帕肽	H
甲状旁腺激素	H
合成鲑降钙素	H
天然猪降钙素	H
合成人降钙素	H
依降钙素	H
西那卡塞	H
帕立骨化醇	H
度骨化醇	H
赖甲环素	J
美他环素	J
罗利环素	J
青哌环素	J
氯莫环素	J
替加环素	J
四环素的复方	J
土霉素，复方	J
甲砜霉素	J
甲砜霉素，复方	J
氨苄西林	J
匹氨西林	J
羧苄西林	J
阿莫西林	J
卡茚西林	J
巴氨西林	J
依匹西林	J
匹美西林	J
阿洛西林	J
美洛西林	J
美西林	J
哌拉西林	J
替卡西林	J
美坦西林	J
酞氨西林	J
磺苄西林	J
替莫西林	J
海他西林	J
氨苄西林，复方	J
青霉素G	J
青霉素V	J
异丙西林	J
阿度西林（叠氮西林）	J
非奈西林	J
培那西林	J
氯甲西林	J
苄星青霉素G	J
普鲁卡因青霉素	J
苄星青霉素V	J
双氯西林	J
氯唑西林	J
甲氧西林	J
苯唑西林	J
氟氯西林	J
萘夫西林	J
舒巴坦	J
三唑巴坦（泰唑巴坦）	J
氨苄西林和酶抑制剂	J
阿莫西林和酶抑制剂	J
替卡西林和酶抑制剂	J
舒他西林（舒氨苄西林，氨苄青霉烷砜）	J
哌拉西林和酶抑制药	J
青霉素类复方	J
头孢氨苄（头孢力新，先锋霉素IV）	J
头孢噻啶（头孢娄利定，先锋霉素II）	J
头孢噻吩（头孢娄新，先锋霉素I）	J
头孢唑林（头孢菌素V，先锋霉素V）	J
头孢羟氨苄	J
头孢西酮	J
头孢曲秦	J
头孢匹林（先锋霉素VIII）	J
头孢拉定（先锋霉素IV，头孢环己烯，环己烯胺头孢菌素）	J
头孢乙腈（氰甲头孢菌素，头孢赛曲）	J
头孢沙定	J
头孢替唑（头孢去甲唑啉）	J
头孢西丁（美福仙，先锋美吩，头霉噻吩，头孢甲氧霉素）	J
头孢呋辛（头孢氨呋肟，呋肟头孢菌素）	J
头孢孟多（头孢羟唑）	J
头孢克洛（头孢克罗，头孢氯氨苄）	J
头孢替坦（头孢双硫唑甲氧）	J
头孢尼西（头孢羟苄磺唑）	J
头孢替安（头孢噻乙胺唑，噻乙胺唑头孢菌素）	J
氯碳头孢	J
头孢美唑	J
头孢丙烯	J
头孢雷特	J
头孢噻肟（头孢氨噻，头孢氨噻肟，先锋龙）	J
头孢他啶（头孢噻甲羧肟）	J
头孢磺啶（磺吡苄头孢菌素，头孢磺吡酮）	J
头孢曲松（头孢三嗪，头孢嗪克松，头孢氨噻三嗪）	J
头孢甲肟（头孢氨噻肟唑）	J
拉氧头孢	J
头孢唑肟（去甲噻肟头孢菌素，头孢甲噻肟，安保速灵，安普西林）	J
头孢克肟	J
头孢地秦	J
头孢他美	J
头孢匹胺（头孢吡四唑）	J
头孢哌酮	J
头孢泊肟	J
头孢布烯（头孢布坦, 先力腾, 头孢噻腾）	J
头孢地尼	J
头孢托仑	J
头孢卡品	J
头孢曲松，复方	J
头孢哌酮,复方	J
头孢吡肟（头孢匹美）	J
头孢匹罗	J
头孢唑兰	J
氨曲南（氨噻羧单胺菌素，噻肟单酰胺菌素）	J
美罗培南	J
厄他培南	J
多尼培南	J
比阿培南	J
亚胺培南和酶抑制药	J
帕尼培南和倍他米隆	J
头孢比洛酯	J
法罗培南	J
甲氧苄啶	J
溴莫普林	J
艾拉普林	J
磺胺索嘧啶	J
磺胺二甲嘧啶	J
磺胺吡啶	J
磺胺异噁唑	J
磺胺硫脲	J
磺胺甲噁唑	J
磺胺嘧啶	J
磺胺噁唑	J
磺胺地索辛	J
磺胺林	J
磺胺托嘧啶	J
磺胺对甲氧嘧啶	J
磺胺甲氧嗪	J
磺胺培林	J
磺胺苯吡唑	J
磺胺马宗	J
磺胺甲噁唑和甲氧苄啶	J
磺胺嘧啶和甲氧苄啶	J
磺胺美曲和甲氧苄啶	J
磺胺噁唑和甲氧苄啶	J
磺胺二甲嘧啶和甲氧苄啶	J
磺胺嘧啶和四氧普林	J
磺胺甲嘧啶和甲氧苄啶	J
螺旋霉素	J
麦迪霉素	J
竹桃霉素	J
罗红霉素	J
交沙霉素	J
醋竹桃霉素	J
克拉霉素	J
阿奇霉素	J
妙卡霉素	J
罗他霉素	J
地红霉素	J
氟红霉素	J
特利霉素	J
林可霉素	J
普那霉素	J
奎奴普汀（达福普汀）	J
链双霉素	J
妥布霉素	J
奈替米星	J
西索米星（紫苏霉素，西索霉素，西梭霉素）	J
地贝卡星	J
核糖霉素	J
异帕米星	J
阿贝卡星	J
氧氟沙星	J
环丙沙星	J
培氟沙星	J
依诺沙星（氟啶酸，氟哌酸，力醇罗）	J
替马沙星	J
诺氟沙星	J
洛美沙星	J
氟罗沙星	J
司帕沙星	J
芦氟沙星	J
格帕沙星	J
左氧氟沙星	J
曲伐沙星	J
莫西沙星	J
吉米沙星	J
加替沙星	J
普卢利沙星	J
帕珠沙星	J
加雷沙星	J
罗索沙星	J
萘啶酸	J
吡咯米酸（吡咯酸）	J
吡哌酸	J
奥索利酸（噁喹酸）	J
西诺沙星	J
氟甲喹	J
青霉素类与其它抗菌药的复方	J
磺胺类与其它抗菌药（甲氧苄啶除外）的复方	J
头孢呋辛与其它抗菌药的复方	J
螺旋霉素，与其它抗菌药的复方	J
左氧氟沙星联合其他抗菌药	J
替考拉宁	J
泰拉万星	J
达巴万星	J
奥利万星	J
替硝唑（硝砜咪唑）	J
呋喃妥因	J
硝呋妥因醇	J
磷霉素	J
希波酚（异冰片二甲酚）	J
氯福克酚	J
