d1	0.9%氯化钠注射液(安徽丰)
d693	布洛芬缓释胶囊
d694	酒石酸布托啡诺注射液(诺)
d695	酒石酸布托啡诺注射液(诺扬)
d696	步长胆石利通片
d697	步长脑心通胶囊
d698	步长前列舒通胶囊
d699	步长稳心颗粒
d700	参柏洗液
d701	参柏洗液(康洁司)
d702	参柏洗液(康洁司乐)
d703	参贝止咳颗粒
d704	参附针
d705	参附针(10ml)
d706	参附注射液
d707	参附针(三九)
d708	参苓白术丸
d709	参麦针(正大)
d710	参麦针
d711	参麦针(20ml)
d712	参麦针(20ml)(住院用)
d713	参麦针(50ml)
d714	参麦注射液
d715	参麦注射液(50ml)
d716	参麦针(三精)
d717	参芪胶囊
d718	参芪扶正针
d719	参芪扶正注射液
d720	参芪降糖颗粒
d721	参芪降糖片
d722	参芪降糖片(麦芪降糖片)
d723	参芪十一颗粒
d724	参芪十一味颗粒
d725	参松养心胶囊
d726	参芎葡萄糖注射液
d727	苍耳子鼻炎胶囊
d728	草铂针
d729	消脱止-M片(草木犀)
d730	草木犀流浸液片
d731	草木犀流浸液片(消脱止-M)
d732	茶碱缓释片(舒弗美)
d733	舒弗美(茶碱缓释片)
d734	茶碱缓释片
d735	柴胡滴丸
d736	柴胡针
d737	柴胡注射液
d738	柴银口服液
d739	蟾乌巴布膏
d740	肠安胶囊
d741	肠涤清
d742	肠涤清灌肠液
d743	(能全力)肠内营养剂混悬液
d744	能全力混悬液
d745	能全力营养混悬液针(口服)
d746	肠内营养乳剂(TPF-D)(瑞
d747	肠内营养乳剂(TPF-D)(瑞代)
d748	肠内营养乳剂(TPF-T)(瑞
d749	(瑞能)肠内营养乳剂(TPF-T)
d750	肠内营养乳剂(TPF-T)(瑞能
d751	畅鼻通颗粒
d752	超碘化油
d753	臣功华芬(愈美颗粒剂)
d754	痴复康口服液
d755	川贝批杷膏
d756	川贝枇杷露
d757	川黄口服液
d758	川黄液
d759	复方川芎胶囊
d760	盐酸川芎嗪氯化钠注射液
d761	盐酸川芎嗪氯化钠注射液()
d762	盐酸川芎嗪针
d763	盐酸川芎嗪注射液
d764	盐酸川芎嗪粉针(川青)
d765	川芎素粉针
d766	穿琥宁注射液
d767	穿琥宁针(辅仁)
d768	喘可治针
d769	喘可治针(2ml6)
d770	喘嗽宁片
d771	垂体后叶针
d772	垂体后叶注射液
d773	刺五加针
d774	刺五加针(100ml)
d775	注射用促肝细胞生长素
d776	注射用促皮质素
d777	醋甲唑胺片(尼目克司)
d778	醋羟胺酸胶囊(君石通)
d779	醋羟胺酸胶囊
d780	达肝素钠针(法安明)
d781	达肝素钠注射液(法安明)
d782	达那唑胶囊
d783	大黄胶囊
d784	大黄庶虫胶囊
d785	大黄蔗虫丸(雷氏)
d786	大活络胶囊
d787	大蒜素胶囊
d788	大蒜素针
d789	大蒜素注射液
d790	大蒜素胶囊(绿君宁)
d791	丹参针(正大)
d792	丹参针(10ML)
d793	丹参针(2ML)
d794	丹参注射液
d795	复方丹参滴丸
d796	复方丹参片
d797	注射用丹参(冻干)
d798	丹参针(江苏)
d799	注射用丹参多酚酸盐
d800	丹参粉针
d801	丹参粉针(哈药)
d802	丹参酮胶囊
d803	丹参酮ⅡA磺酸钠针(诺新康)
d804	诺新康针(丹参酮IIA磺酸)
d805	丹红注射液
d806	丹红通瘀片(2号)
d807	丹红通瘀片(通瘀2号)
d808	丹红通瘀片(通瘀二号)
d809	丹棱散结敷膏
d810	丹蒌片
d811	丹田降脂丸
d812	丹郁骨康丸
d813	单唾液酸四己糖神经节苷脂钠针(申捷)
d814	单唾液酸四己糖神经节苷脂钠盐针(施捷因)
d815	单唾液酸四己糖神经节苷脂钠盐针(重塑杰)
d816	奥帝亚(单硝酸异山梨酯针)
d817	单硝酸异山梨酯针(奥帝亚)
d818	鲁南欣康缓释片(单硝酸异山梨酯)
d819	单硝酸异山梨酯缓释片(欣)
d820	单硝酸异山梨酯缓释片(欣康)
d821	单硝酸异山梨酯片(欣康)
d822	欣康缓释片(单硝酸异山梨酯缓释片)
d823	欣康片(单硝酸异山梨酯)
d824	欣康片(单硝酸异山梨酯片)
d825	单硝酸异山梨酯缓释胶囊(异乐定)
d826	异乐定缓释胶囊(单硝酸异山)
d827	胆石片
d828	胆石利通片
d829	胆石清片
d830	胆石消片(胆石清片)
d831	胆舒胶囊
d832	达卡巴嗪针(氮烯咪胺)
d833	盐酸氮卓斯汀鼻喷剂(爱赛)
d834	灯盏花素粉针(龙津)
d835	灯盏花素粉针(培斯汀)
d836	注射用灯盏花素(培斯汀)
d837	灯盏花素粉针
d838	注射用灯盏花素
d839	灯盏生脉胶囊
d840	灯盏细辛针(生物谷)
d841	灯盏细辛针
d842	灯盏细辛注射液
d843	邓老冠心胶囊
d844	邓老暖心胶囊
d845	低分子肝素钙注射液(赛博)
d846	低分子肝素钙针(速碧林)
d847	低分子肝素钙注射液(速碧林)
d848	低分子肝素钙注射液(速碧林针)
d849	速碧林针(低分子肝素钙)
d850	低分子量肝素钙针(天普洛宁)
d851	低分子量肝素钙注射液(万脉舒)
d852	低分子肝素钠注射液(法安明)
d853	法安明针(低分子肝素钠)
d854	低分子肝素钠注射液(克赛)
d855	低分子肝素钠注射液(依诺肝素钠注射液)(克赛)
d856	滴鼻灵
d857	地奥司明片(爱脉朗)
d858	地奥司明片
d859	地奥心血康胶囊
d860	地巴唑片
d861	合贝爽缓释胶囊(地尔硫卓)
d862	合贝爽针(地尔硫卓)
d863	合贝爽针(盐酸地尔硫卓)
d864	地尔硫卓片(合心爽)
d865	合心爽(地尔硫卓片)
d866	盐酸地尔硫卓片(合心爽)
d867	盐酸地尔硫卓片
d868	盐酸地芬尼多片
d869	地高辛片(可力)
d870	可力片(地高辛)
d871	地高辛片
d872	地高辛酏剂
d873	地戈辛片
d874	地恒赛片(地氯雷他定)
d875	地氯雷他定片(地恒赛)
d876	地奈德乳膏(力言卓)
d877	地屈孕酮片(达芙通)
d878	地屈孕酮片
d879	复方醋酸地塞米松乳膏(东康)
d880	地塞米松磷酸钠针(天心)
d881	醋酸地塞米松片
d882	地塞米松片
d883	复方醋酸地塞米松乳膏
d884	地塞米松磷酸钠注射液
d885	地西泮片(安定)
d886	地西泮针(安定)
d887	地西泮注射液(安定)
d888	地西泮片
d889	地西泮注射液
d890	地榆升白片
d891	滇白珠糖浆
d892	复方碘溶液(卢戈氏液)
d893	碘酊
d894	碘佛醇注射液(安射力)
d895	安射力350(碘佛醇注射液)
d896	0.5%碘伏溶液
d897	碘甘油
d898	(欧乃派克30g)碘海醇注射液
d899	(欧乃派克35g)碘海醇注射液
d900	(欧乃派克6g)碘海醇注射液
d901	碘海醇针(欧乃派克)
d902	碘海醇注射液(欧乃派克)
d903	碘海醇注射液(欧乃派克100ml)
d904	碘海醇注射液(欧乃派克30g)
d905	碘海醇注射液(欧乃派克35g)
d906	欧乃派克(碘海醇)
d907	欧乃派克针(100ml)
d908	欧乃派克针(10ml)
d909	欧乃派克针(50ml)
d910	欧乃派克针(碘海醇)
d911	碘海醇针(欧苏)
d912	碘海醇注射液(欧苏)
d913	碘化油针
d914	碘化油针(进口)
d915	碘克沙醇针(威视派克)
d916	碘克沙醇注射液(威视派克针)
d917	威视派克针(碘克沙醇)
d918	碘必乐370针
d919	碘必乐370针(50ml)
d920	碘帕醇针(典比乐)
d921	碘帕醇注射液(碘必乐370)
d922	碘普罗胺注射液(优维显)
d923	碘液微型盖(碘帽)
d924	碘液微型盖
d925	勃脉力A(复方电解质注射液)
d926	复方电解质眼内冲洗液(世可)
d927	跌打酒
d928	跌打万花油
d929	阿米卡星溶液
d930	阿米卡星洗剂
d931	阿米卡星针(丁胺卡那)
d932	硫酸阿米卡星针(丁胺卡那)(天心)
d933	硫酸阿米卡星注射液
d934	丁二磺酸腺苷蛋氨酸肠溶片(思美泰)
d935	丁二磺酸腺苷蛋氨酸针(思美泰)
d936	丁卡因针(50mg)
d937	丁硼乳膏(康齿宁)
d938	康齿宁(丁硼乳膏)
d939	丁硼乳膏(雅皓)
d940	丁硼乳膏
d941	丁酸氢化可的松乳膏(尤卓尔)
d942	丁酸氢化可的松软膏(尤卓尔)
d943	尤卓尔软膏
d944	尤卓尔软膏(丁酸氢化)
d945	丁酸氢化可的松软膏
d946	复方丁香开胃帖
d947	复方丁香开胃贴
d948	东宝笔(电子笔)
d949	东宝电子笔
d950	东宝针头
d951	东莨菪碱针
d952	东莨菪碱注射液
d953	独一味软胶囊
d954	短肽型肠内营养剂(百普素)
d955	对氨基水杨酸异烟肼片(力)
d956	对氨基水杨酸异烟肼片(力克菲疾)
d957	必理通片
d958	对乙酰氨基酚片(必理通)
d959	对乙酰氨基酚咀嚼片(儿童百服咛)
d960	对乙酰氨基酚咀嚼片
d961	对乙酰氨基酚片
d962	对乙酰氨基酚栓
d963	多巴胺针
d964	多巴胺注射液
d965	盐酸多巴胺针
d966	多巴酚丁胺针
d967	盐酸多巴酚丁胺针
d968	盐酸多巴酚丁胺注射液
d969	多巴丝肼片(美多巴)
d970	多巴丝肼片(美多芭)
d971	美多巴片(多巴丝肼)
d972	多巴丝肼胶囊
d973	多巴丝肼片
d974	多磺酸基粘多糖霜(喜疗妥)
d975	安理申片(盐酸多奈哌齐)
d976	盐酸多奈哌齐片(安理申)
d977	多潘立酮片(吗丁啉)
d978	吗丁啉(多潘立酮片)
d979	吗叮啉片(多潘立酮)
d980	多潘立酮片
d981	盐酸多塞平片
d982	多沙普仑针(佳苏仑)
d983	多沙普仑注射液(佳苏仑)
d984	盐酸多沙普仑针(佳苏仑)
d985	佳苏伦针(多沙普仑)
d986	多索茶碱片(安赛玛)
d987	多索茶碱注射液(安赛玛)
d988	多糖铁胶囊(红源达)
d989	多糖铁复合物胶囊(力蜚能)
d990	力蜚能胶囊(多糖铁复合物)
d991	多维元素片(金施尔康)
d992	多维元素片(29)(善存)
d993	金施尔康片
d994	善存片
d995	多西环素片(强力霉素)
d996	盐酸多西环素片
d997	多西他赛针(艾素)
d998	注射用多西他赛(艾素)
d999	多西他赛注射液(多帕菲)
d1000	多西他赛针(泰索帝)
d1001	(易善复)多烯磷脂酰胆碱胶囊
d1002	多烯磷脂酰胆碱胶囊(易善复)
d1003	多烯磷脂酰胆碱针(易善复)
d1004	多烯磷脂酰胆碱注射液(易)
d1005	多烯磷脂酰胆碱注射液(易善复)
d1006	易善复胶囊(肝得健)
d1007	多种微量元素Ⅱ针(安达美)
d1008	安达美针
d1009	安达美针(多种微量元素注射液(Ⅱ))
d1010	安达美针[适]
d1011	莪丹消癖(4)口服液
d1012	莪丹消癖口服液(无糖型)
d1013	莪丹消癖口服液(消癖4号)
d1014	莪棱胶囊
d1015	莪棱灌肠液
d1016	安博维片(厄贝沙坦)
d1017	厄贝沙坦片(安博维)
d1018	厄贝沙坦胶囊(伊泰青)
d1019	安博诺片(厄贝沙坦氢氯)
d1020	安博诺片(厄贝沙坦氢氯噻)
d1021	厄贝沙坦氢氯噻嗪片(安博诺)
d1022	盐酸厄洛替尼片(特罗凯)
d1023	怡万之针(厄他培南)
d1024	恩他卡朋片(珂丹)
d1025	博路定(恩替卡韦片)
d1026	恩替卡韦片(博路定)
d1027	恩替卡韦片
d1028	耳聪胶囊
d1029	耳聪胶囊(耳聪1号)
d1030	耳聪1号胶囊
d1031	二甲双胍片(格华止)
d1032	格华止片(二甲双胍)
d1033	盐酸二甲双胍片(格华止)
d1034	美哒灵(二甲双胍缓释片)
d1035	美哒灵(盐酸二甲双胍缓释片)
d1036	盐酸二甲双胍缓释片(美哒灵)
d1037	盐酸二甲双胍片(美迪康)
d1038	二甲双胍罗格列酮片(文达敏)
d1039	二甲双胍马来酸罗格列酮片
d1040	二十五味珊瑚丸
d1041	二十五味珍珠丸
d1042	百令胶囊
d1043	百令胶囊(发酵虫草菌)
d1044	丽珠威片(伐昔洛韦)
d1045	盐酸伐昔洛韦(丽珠威)
d1046	盐酸伐昔洛韦片(丽珠威)
d1047	(高舒达)法莫替丁注射液
d1048	法莫替丁片(高舒达)
d1049	法莫替丁针(高舒达)
d1050	法莫替丁注射液(高舒达)
d1051	高舒达片(法莫替丁)
d1052	注射用法莫替丁(高舒达)
d1053	(立复丁)注射用法莫替丁
d1054	注射用法莫替丁(立复丁)
d1055	法莫替丁胶囊(汕头)
d1056	法莫替丁胶囊
d1057	法莫替丁注射液
d1058	注射用法莫替丁
d1059	盐酸法舒地尔针(依立卢)
d1060	盐酸法舒地尔注射液(依立)
d1061	盐酸法舒地尔注射液(依立卢)
d1062	泛昔洛韦片(丽珠风)
d1063	复方泛影葡胺注射液
d1064	注射用放线菌素D
d1065	波依定片(非洛地平)
d1066	非洛地平缓释片(波依定)
d1067	盐酸非那吡啶胶囊(怡度)
d1068	保列治片(非那雄胺)
d1069	保列治片[适]
d1070	非那雄胺片(保列治)
d1071	马来酸非尼拉敏盐酸萘甲唑啉眼水(那素达)
d1072	非诺贝特胶囊(力平之)
d1073	力平之胶囊(非诺贝特)
d1074	非诺贝特胶囊
d1075	肺力咳合剂
d1076	芬太尼透皮贴剂(多瑞吉)
d1077	芬太尼针
d1078	芬太尼针(0.1mg)
d1079	芬太尼针(0.5mg)
d1080	芬太尼注射液
d1081	酚磺乙胺针(江苏)
d1082	酚磺乙胺针
d1083	酚磺乙胺注射液
d1084	酚麻美敏混悬液(泰诺)
d1085	酚麻美敏片(泰诺)
d1086	泰诺(酚麻美敏混悬液)
d1087	泰诺片(酚麻美敏)
d1088	酚酞含片(果导)
d1089	酚酞片(果导)
d1090	果导片
d1091	酚酞片
d1092	酚妥拉明注射液(立其丁)
d1093	利其丁针(酚妥拉明)
d1094	奋乃静片
d1095	风痛灵
d1096	风油精
d1097	注射用夫西地酸钠(巴仁)
d1098	夫西地酸乳膏(立思丁)
d1099	呋喃妥因片(呋喃旦啶)
d1100	0.02%呋喃西林溶液(玻瓶)
d1101	0.02%呋喃西林溶液(外用)
d1102	0.02%呋喃西林溶液针
d1103	0.02%呋喃西林溶液针(外用)
d1104	呋塞米片(速尿)
d1105	呋塞米针(速尿)
d1106	呋塞米针(速尿)(禾丰)
d1107	呋塞米注射液(速尿)
d1108	呋塞米片
d1109	呋塞米注射液
d1110	肤必润软膏
d1111	伏格列波糖片(倍欣)
d1112	注射用伏立康唑(廸尔达宁)
d1113	注射用伏立康唑(迪尔达宁)
d1114	伏立康唑片(威凡)
d1115	伏立康唑针(威凡)
d1116	威凡针(伏立康唑)
d1117	注射用伏立康唑(威凡针)
d1118	伏立康唑针(亿邦)
d1119	注射用伏立康唑
d1120	扶正化瘀胶囊
d1121	扶正抑瘤口服液
d1122	氟胞嘧啶片
d1123	氟比洛芬酯注射液(凯纷)
d1124	氟比洛芬酯注射液
d1125	氟伐他汀钠胶囊(来适可)
d1126	氟伐他汀钠胶囊
d1127	氟桂利嗪胶囊(西比灵)
d1128	西比灵胶囊(氟桂利嗪)
d1129	盐酸氟桂利嗪胶囊(西比灵)
d1130	盐酸氟桂利嗪胶囊
d1131	西比灵胶囊
d1132	大扶康针(氟康唑)
d1133	氟康唑胶囊(大扶康)
d1134	氟康唑针(大扶康)
d1135	氟康唑注射液(大扶康)
d1136	氟康唑分散片(英达康)
d1137	大扶康胶囊
d1138	氟脲苷针(岭南)
d1139	氟脲苷针
d1140	氟脲嘧啶针(5-FU)
d1141	氟哌利多针(氟哌啶)
d1142	氟哌利多针
d1143	氟哌利多注射液
d1144	氟哌啶醇片
d1145	黛力新片(黛安神)
d1146	氟哌噻吨美利曲辛片(黛力新)
d1147	氟哌噻吨美利曲辛片
d1148	氟派啶针
d1149	氟他胺片(福至尔)
d1150	福至尔片(氟他胺)
d1151	氟他胺片
d1152	福辛普利钠片(蒙诺)
d1153	蒙诺片(福辛普利钠)
d1154	福辛普利钠片
d1155	辅酶Q10胶囊
d1156	妇康饮
d1157	妇科白带胶囊
d1158	妇科养坤丸
d1159	妇平胶囊
d1160	妇舒丸
d1161	附子理中丸
d1162	(开同片)复方a-酮酸片
d1163	复方a-酮酸片(开同)
d1164	开同片(复方a-酮酸)
d1165	(科罗迪)复方a-酮酸片
d1166	复方a-酮酸片(科罗迪)
d1167	复方α-酮酸(科罗迪)
d1168	复方氨基酸胶囊(圣能)
d1169	圣能胶囊(复方氨基酸)
d1170	复方氨基酸胶囊
d1171	复方氨基酸注射液(绿支安)
d1172	绿支安针
d1173	8%复方氨基酸针(15AA)
d1174	复方氨基酸针(15AA)
d1175	复方氨基酸注射液(15AA)
d1176	复方氨基酸注射液(17AA-H)
d1177	7.6%复方氨基酸针(17AA-H)(绿甘安)
d1178	12%复方氨基酸针(18AA)(湖北)
d1179	12%复方氨基酸针(18AA)
d1180	复方氨基酸注射液(18AA)
d1181	复方氨基酸注射液(18AA-Ⅱ)
d1182	复方氨基酸针(18AA-Ⅲ)(天安)
d1183	复方氨基酸针(18AA-Ⅶ)(绿支安)
d1184	复方氨基酸针(9AA)(回音必)
d1185	复方氨基酸针(9AA)
d1186	复方氨基酸注射液(9AA)
d1187	复方氨基酸针(l8AA-III)(天安)
d1188	复方氨基酸针(18AA)-Ⅲ
d1189	复方氨基酸针(18AA-Ⅲ)
d1190	复方氨基酸针(l8AA-III)
d1191	复合氨基酸胶囊(圣能)
d1192	复合辅酶针(贝科能)
d1193	注射用复合辅酶(鑫贝科)
d1194	复合乳酸菌胶囊(聚克)
d1195	复合乳酸菌胶囊
d1196	复合维生素B片
d1197	复合维生素B片(BCO)
d1198	复康灵胶囊
d1199	复脉颗粒剂
d1200	富马酸比索洛尔片(康忻)
d1201	康忻(富马酸比索洛尔片)
d1202	富马酸酮替芬片
d1203	腹可安片
d1204	腹膜透析液(乳酸盐-G1.5%)
d1205	腹膜透析液(乳酸盐-G2.5%)
d1206	腹膜透析液(乳酸盐-G4.25%)
d1207	腹膜透析液2.5%
d1208	(马根维显)钆喷酸葡胺注射液
d1209	钆喷酸葡胺针(马根维显)
d1210	钆喷酸葡胺针(马根维显)(徳国)
d1211	钆喷酸葡胺注射液(马根维)
d1212	钆喷酸葡胺注射液(马根维显)
d1213	复方甘草片
d1214	美能针(复方甘草酸注射液)
d1215	甘草酸二铵胶囊(甘利欣)
d1216	甘草酸二铵针(甘利欣)
d1217	甘草酸二铵注射液(甘利欣)
d1218	甘利欣针(甘草酸二铵)
d1219	甘草酸二铵肠溶胶囊(天晴)
d1220	甘草酸二铵肠溶胶囊(天晴甘平)
d1221	甘草酸二铵注射液
d1222	甘利欣胶囊
d1223	甘利欣胶囊(甘草酸二胺)
d1224	注射用复方甘草酸苷(龙迪)
d1225	注射用复方甘草酸苷(龙迪泰)
d1226	复方甘草酸苷片(美能)
d1227	复方甘草酸苷针(美能)
d1228	复方甘草酸苷注射液(美能)
d1229	注射用复方甘草酸苷(卫伊)
d1230	注射用复方甘草酸苷(卫伊兴)
d1231	复方甘草酸苷片
d1232	复方甘草酸苷注射液
d1233	甘和茶
d1234	(来得时(预填充))甘精胰岛素注射液
d1235	(来得时预填充)甘精胰岛素预填充针
d1236	甘精胰岛素笔芯针(来得时)
d1237	甘精胰岛素预填充针(来得时预填充)
d1238	甘精胰岛素注射液((来得时(预填充)))
d1239	甘精胰岛素注射液((来得时)
d1240	甘精胰岛素注射液(来得时(预填充))
d1241	甘精胰岛素注射液(来得时)
d1242	来得时(预填充)甘精胰岛素注射液
d1243	甘露醇
d1244	甘露醇注射液
d1245	甘露聚糖肽针(多抗)
d1246	甘露聚糖肽口服溶液(仙翁)
d1247	甘露聚糖肽口服液(仙翁)
d1248	甘露聚糖肽注射液
d1249	甘油果糖针(山东)
d1250	甘油果糖注射液
d1251	甘油磷酸钠针(格列福斯)
d1252	甘油磷酸钠注射液(格利福斯)
d1253	肝苏颗粒(无糖)
d1254	肝素钠针(天津)
d1255	肝素钠针
d1256	肝素钠注射液
d1257	肝纤丸
d1258	感咳双清胶囊
d1259	复方感冒灵片
d1260	感冒清胶囊
d1261	食母生片(干酵母)
d1262	干酵母片
d1263	因特芬针[适](干扰素)
d1264	肛泰软膏
d1265	高锰酸钾(P.P粉)
d1266	高锰酸钾外用片
d1267	高三尖杉酯碱针
d1268	高三尖杉酯碱注射液
d1269	醋酸戈舍瑞林缓释植入剂(诺雷得)
d1270	醋酸戈舍瑞林缓释植入剂针(诺雷得)
d1271	醋酸戈舍瑞林缓释植入剂
d1272	盐酸格拉司琼针(枢星)
d1273	盐酸格拉司琼注射液(枢星)
d1274	格利福斯针
d1275	格列本脲片(优降糖)
d1276	格列吡嗪片(华南)
d1277	格列吡嗪控释片(瑞易宁)
d1278	瑞易宁片(格列吡嗪)
d1279	格列喹酮片(糖适平)
d1280	糖适平(格列喹酮)片
d1281	安多美(格列美脲片)
d1282	安多美片(格列美脲)
d1283	格列美脲片(安多美)
d1284	瑞平(格列美脲滴丸)
d1285	格列美脲片(亚莫利)
d1286	达美康缓释片(格列齐特)
d1287	格列齐特缓释片(达美康)
d1288	格列齐特片(华南)
d1289	格列齐特片
d1290	葛根素针(麦普宁)
d1291	注射用葛根素(麦普宁)
d1292	葛兰心宁软胶囊
d1293	更年滋肾口服液
d1294	更年滋肾口服液(补肾益骨)
d1295	更昔洛韦针(德洛好)
d1296	注射用更昔洛韦(凯因诺伟)
d1297	更昔洛韦眼用凝胶(丽科明)
d1298	丽科明(更昔洛韦眼用凝胶)
d1299	更昔洛韦眼用凝胶
d1300	汞溴红溶液(红汞水)
d1301	汞溴红溶液
d1302	狗皮膏
d1303	狗皮膏(改进型)
d1304	狗皮膏(改进型)(象王)
d1305	枸椽酸他莫昔芬片
d1306	枸橼酸钾颗粒
d1307	枸橼酸芬太尼针
d1308	枸橼酸钾颗粒(可维加)
d1309	枸橼酸钾颗粒剂(可维加)
d1310	可维加颗粒(枸橼酸钾)
d1311	可维加颗粒剂
d1312	枸橼酸莫沙必利片(快力)
d1313	枸橼酸莫沙必利片(瑞琪)
d1314	瑞琪(枸橼酸莫沙必利片)
d1315	枸橼酸喷托维林片(咳必清)
d1316	枸橼酸舒芬太尼针(舒芬尼)
d1317	枸橼酸舒芬太尼注射液(舒芬尼)
d1318	枸橼酸舒芬太尼注射液
d1319	枸橼酸他莫昔芬片
d1320	谷氨酸钠针
d1321	复方谷氨酰胺肠溶胶囊(谷参)
d1322	谷参肠安胶囊(复方谷氨酰胺)
d1323	复方谷氨酰胺肠溶胶囊
d1324	古拉定针[适](谷胱甘肽)
d1325	还原型谷胱甘肽钠针(古拉定)
d1326	注射用谷胱甘肽(古拉定)
d1327	谷维素片
d1328	骨刺贴
d1329	骨风宁胶囊
d1330	盖三淳(骨化三醇胶丸)
d1331	骨化三醇胶丸(盖三淳)
d1332	骨化三醇注射液(溉纯)
d1333	骨化三醇胶丸(罗盖全)
d1334	罗盖全胶丸(骨化三醇)
d1335	骨康胶囊
d1336	骨松安胶囊
d1337	骨松宝胶囊
d1338	骨松宝胶囊(富华)
d1339	骨肽针(珍宝岛)
d1340	复方骨肽针(谷强)
d1341	注射用骨肽(唛金沥)
d1342	注射用骨肽
d1343	骨通贴膏
d1344	骨质宁擦剂
d1345	固肠止泻丸
d1346	固肾口服液
d1347	固心胶囊
d1348	冠心丹参滴丸
d1349	冠心康片
d1350	胱氨酸片
d1351	广东凉茶颗粒(无糖)
d1352	广东凉茶颗粒(王老吉)(无糖)
d1353	广昆布眼水
d1354	广昆布眼水(昆布眼水)
d1355	归脾丸
d1356	归脾丸(浓缩丸)
d1357	龟鹿补肾胶囊
d1358	鲑降钙素针(邦瑞得)
d1359	鲑降钙素注射液(邦瑞得)
d1360	鲑降钙素喷剂(密盖息)
d1361	鲑鱼降钙素鼻喷剂(密盖息)
d1362	鲑鱼降钙素针(密盖息)
d1363	鲑鱼降钙素注射液(密盖息)
d1364	密盖息喷剂
d1365	密盖息喷剂[适]
d1366	密盖息针(降钙素)
d1367	密盖息针[适](降钙素)
d1368	克林澳(马来酸桂哌齐特针)
d1369	克林澳针(马来酸桂哌齐特)
d1370	马来酸桂哌齐特注射液(克林澳)
d1371	桂枝茯苓胶囊
d1372	果糖氯化钠针(甘乐力)
d1373	果糖氯化钠注射液
d1374	达欣能(果糖二磷钠针)
d1375	果糖二磷酸钠口服溶液(瑞安吉)
d1376	果糖二磷酸口服溶液
d1377	果糖二磷酸钠针
d1378	果糖二磷酸钠注射液
d1379	过氧苯甲酰凝胶(班赛)
d1380	过氧化氢溶液(双氧水)
d1381	过氧化氢溶液
d1382	肤乐乳膏(哈西奈德)
d1383	哈西奈德乳膏(肤乐)
d1384	哈西奈德乳膏
d1385	还原型谷胱甘肽针(阿拓莫兰)
d1386	注射用还原型谷胱甘肽(阿拓莫兰)
d1387	注射用还原型谷胱甘肽(阿)
d1388	海昆肾喜胶囊
d1389	核酪针
d1390	黑顺片粉(熟附子粉)
d1391	复方红豆杉胶囊
d1392	红归酊
d1393	红霉素眼膏
d1394	注射用红细胞生成素(益比奥)
d1395	洪天清肝降压胶囊
d1396	喉风散
d1397	喉疾灵胶囊
d1398	喉可安
d1399	喉宁雾化剂
d1400	喉宁雾化剂(金喉雾化剂)
d1401	金喉含片
d1402	金喉片
d1403	金喉雾化剂
d1404	金喉雾化剂针
d1405	金喉雾化剂针(外用)
d1406	喉特灵含片
d1407	猴耳环消炎胶囊
d1408	猴头菌提取物颗粒(谓葆)
d1409	△猴枣牛黄散
d1410	猴枣牛黄散
d1411	猴枣牛黄散(中药方)
d1412	虎草抗病毒胶囊(抗病毒1号)
d1413	虎地肠溶胶囊(虎地胶囊)
d1414	4%琥珀酰明胶针(佳乐施)
d1415	琥珀酰明胶注射液(佳乐施)
d1416	佳乐施针(琥珀酰明胶)
d1417	护肝片
d1418	护肝宁片
d1419	华蟾素针
d1420	华法林钠片
d1421	华佗再造丸
d1422	化结通瘀片(1号)
d1423	化结通瘀片(通瘀1号)
d1424	化痔栓
d1425	槐耳颗粒(金克)
d1426	环孢素针(山地明)
d1427	环孢素软胶囊(新赛斯平)
d1428	环孢素软胶囊(新山地明)
d1429	乳酸环丙沙星氯化钠针(西普乐)
d1430	西普乐针(环丙沙星氯化钠)
d1431	乳酸环丙沙星氯化钠注射液(悉复欢)
d1432	悉复欢(盐酸环丙沙星片)
d1433	盐酸环丙沙星片(悉复欢)
d1434	盐酸环丙沙星片(悉復欢)
d1435	乳酸环丙沙星氯化钠针
d1436	乳酸环丙沙星氯化钠注射液
d1437	环磷酰胺针(C.T.X)(恒瑞)
d1438	复方环磷酰胺片(泰魁)
d1439	复方环磷酰胺片
d1440	环磷酰胺针
d1441	环磷酰胺针(C.T.X)
d1442	注射用环磷腺苷
d1443	复方黄黛片
d1444	黄虎解热袋泡茶
d1445	黄葵胶囊
d1446	黄连滴眼液
d1447	黄连滴眼液(外障眼水)
d1448	黄连滴耳液
d1449	黄连上清丸
d1450	复方北芪口服液
d1451	黄芪颗粒
d1452	黄芪颗粒(无糖)
d1453	黄芪注射液
d1454	黄芪针(北芪)
d1455	伯恩针(黄芪多糖)
d1456	黄芪多糖针(伯恩)
d1457	黄氏响声丸
d1458	肤阴洁洗液(复方黄松)
d1459	黄体酮胶丸(琪宁)
d1460	黄体酮胶丸
d1461	黄体酮针
d1462	黄体酮注射液
d1463	黄杨宁片
d1464	复方磺胺甲噁唑片(百炎净)
d1465	复方磺胺甲恶唑片(百炎净)
d1466	复方磺胺甲噁唑片
d1467	注射用磺苄西林钠(伊葆康)
d1468	回生口服液
d1469	胆维他片(茴三硫)
d1470	茴三硫片
d1471	活络枕
d1472	活血消肿止痛贴(骨科敷料)
d1473	活血止痛膏
d1474	霍胆丸
d1475	藿香正气口服液
d1476	藿香正气软胶囊
d1477	藿香正气水
d1478	藿香正气水(同仁堂)
d1479	肌苷针(古田)
d1480	肌苷片
d1481	肌苷针
d1482	肌苷注射液
